state,region_name,is_eastern_shift_state
TX,Traditional,0
OK,Traditional,0
KS,Traditional,0
NE,Traditional,0
IA,Traditional,0
SD,Traditional,0
ND,Traditional,0
MO,Traditional,0
MS,Emerging,1
AL,Emerging,1
TN,Emerging,1
KY,Emerging,1
AR,Emerging,1
LA,Emerging,1
GA,Emerging,1
IN,Emerging,1
OH,Emerging,1
IL,Emerging,1
NC,Emerging,1
SC,Emerging,1
NV,Other,0
CA,Other,0
HI,Other,0
VA,Other,0
FL,Other,0
NM,Other,0
AZ,Other,0
WI,Other,0
WA,Other,0
AK,Other,0
MD,Other,0
MN,Other,0
NY,Other,0
CO,Other,0
OR,Other,0
MI,Other,0
MT,Other,0
PA,Other,0
WY,Other,0
WV,Other,0
ID,Other,0
NH,Other,0
ME,Other,0
PR,Other,0
DE,Other,0
MA,Other,0
NJ,Other,0
CT,Other,0
UT,Other,0
RI,Other,0
