state,tor_length,tor_width,year,injuries,fatalities,tor_scale_unified
NV,0.1,200.0,2004,0,0,EF0
CA,0.2,3.0,2004,0,0,EF0
MS,0.2,50.0,2004,0,0,EF0
IN,1.5,75.0,2004,0,0,EF0
HI,5.0,25.0,2004,0,0,EF0
VA,1.6,75.0,2004,0,0,EF1
VA,0.3,75.0,2004,0,0,EF1
VA,0.3,75.0,2004,0,0,EF1
CA,0.5,5.0,2004,0,0,EF0
LA,0.1,20.0,2004,0,0,EF0
VA,1.8,75.0,2004,0,0,EF1
HI,1.0,25.0,2004,0,0,EF0
LA,0.5,30.0,2004,0,0,EF1
MS,0.2,50.0,2004,0,0,EF0
LA,1.0,25.0,2004,0,0,EF0
LA,7.0,50.0,2004,1,0,EF1
FL,0.1,30.0,2004,0,0,EF0
TX,0.5,50.0,2004,0,0,EF0
LA,0.1,20.0,2004,0,0,EF0
HI,1.0,15.0,2004,0,0,EF0
MS,1.5,50.0,2004,0,0,EF2
CA,1.0,5.0,2004,0,0,EF0
LA,4.5,75.0,2004,0,0,EF1
LA,0.3,25.0,2004,0,0,EF0
LA,4.0,50.0,2004,4,0,EF2
CA,0.5,5.0,2004,0,0,EF0
TX,6.0,75.0,2004,0,0,EF1
LA,20.0,300.0,2004,1,0,EF2
LA,12.0,75.0,2004,0,0,EF0
LA,3.0,75.0,2004,0,0,EF0
LA,12.0,300.0,2004,0,0,EF2
LA,3.0,300.0,2004,20,1,EF3
NV,0.2,20.0,2004,0,0,EF0
NV,0.1,30.0,2004,0,0,EF0
NV,0.3,30.0,2004,0,0,EF0
NV,0.1,20.0,2004,0,0,EF0
TX,0.5,75.0,2004,0,0,EF0
FL,0.3,30.0,2004,0,0,EF0
LA,1.0,10.0,2004,3,0,EF2
MS,8.5,300.0,2004,0,0,EF2
MS,1.5,300.0,2004,0,0,EF1
TX,0.2,50.0,2004,0,0,EF0
FL,2.0,50.0,2004,0,0,EF1
NM,1.0,200.0,2004,0,0,EF0
AL,1.5,75.0,2004,0,0,EF0
CA,0.5,5.0,2004,0,0,EF0
NM,1.0,150.0,2004,0,0,EF0
NM,1.0,150.0,2004,0,0,EF0
TX,0.5,75.0,2004,0,0,EF0
MS,8.0,200.0,2004,0,0,EF1
MS,1.5,100.0,2004,0,0,EF1
GA,0.3,100.0,2004,0,0,EF0
TX,14.0,50.0,2004,0,0,EF1
FL,0.1,30.0,2004,0,0,EF0
FL,0.2,30.0,2004,0,0,EF0
NE,0.2,20.0,2004,0,0,EF0
IL,1.5,30.0,2004,0,0,EF1
IL,2.0,20.0,2004,0,0,EF0
IL,2.5,20.0,2004,0,0,EF0
IA,0.2,25.0,2004,0,0,EF0
NE,0.2,20.0,2004,0,0,EF0
OK,0.3,30.0,2004,0,0,EF0
IL,2.0,20.0,2004,0,0,EF0
IL,1.6,250.0,2004,0,0,EF1
NE,0.5,40.0,2004,0,0,EF0
IL,2.5,20.0,2004,0,0,EF0
TX,0.2,30.0,2004,0,0,EF0
TX,1.0,440.0,2004,0,0,EF0
FL,0.5,75.0,2004,0,0,EF0
IL,0.5,20.0,2004,0,0,EF0
IL,6.0,75.0,2004,0,0,EF1
OK,1.0,200.0,2004,0,0,EF0
OK,0.1,20.0,2004,0,0,EF0
IL,3.0,20.0,2004,0,0,EF0
AR,0.2,25.0,2004,0,0,EF0
IL,1.5,20.0,2004,0,0,EF0
IL,3.0,50.0,2004,0,0,EF2
KS,1.0,55.0,2004,0,0,EF0
IL,9.0,400.0,2004,0,0,EF2
OK,0.2,50.0,2004,0,0,EF0
TX,0.3,50.0,2004,0,0,EF1
TX,0.1,25.0,2004,0,0,EF0
TX,10.0,440.0,2004,2,0,EF2
MO,5.4,200.0,2004,0,0,EF2
KS,8.5,1300.0,2004,0,0,EF3
KS,1.5,50.0,2004,0,0,EF0
KS,1.5,20.0,2004,0,0,EF0
TX,0.1,25.0,2004,0,0,EF0
TX,1.0,440.0,2004,0,0,EF0
TX,15.0,75.0,2004,0,0,EF0
TX,15.0,75.0,2004,0,0,EF0
KS,0.5,30.0,2004,0,0,EF0
AZ,0.1,10.0,2004,0,0,EF0
AL,2.0,75.0,2004,0,0,EF0
IN,0.2,50.0,2004,0,0,EF0
IA,5.0,100.0,2004,0,0,EF1
KS,1.0,100.0,2004,0,0,EF2
KS,1.2,75.0,2004,0,0,EF0
KS,1.2,500.0,2004,1,0,EF4
TX,0.1,50.0,2004,0,0,EF0
TX,0.1,75.0,2004,0,0,EF0
TX,1.2,125.0,2004,0,0,EF0
MS,0.2,75.0,2004,0,0,EF1
NE,0.3,30.0,2004,0,0,EF0
IA,0.2,30.0,2004,0,0,EF0
IA,1.3,100.0,2004,0,0,EF1
WI,1.0,30.0,2004,0,0,EF0
WA,0.2,75.0,2004,0,0,EF1
IL,1.7,100.0,2004,0,0,EF0
IL,6.8,880.0,2004,5,0,EF2
AK,0.0,0.0,2004,0,0,EF0
FL,0.3,20.0,2004,0,0,EF0
WI,3.0,30.0,2004,0,0,EF0
IA,7.0,50.0,2004,0,0,EF1
NE,0.1,10.0,2004,0,0,EF0
NE,0.2,20.0,2004,0,0,EF0
NE,0.1,10.0,2004,0,0,EF0
IA,0.2,25.0,2004,0,0,EF0
MO,0.1,50.0,2004,0,0,EF0
MO,1.0,200.0,2004,0,0,EF1
AR,8.8,40.0,2004,0,0,EF1
AK,0.0,0.0,2004,0,0,EF0
IA,3.0,40.0,2004,0,0,EF0
IN,4.5,30.0,2004,0,0,EF0
MS,6.0,300.0,2004,0,0,EF1
TX,0.5,100.0,2004,0,0,EF0
TX,0.1,50.0,2004,0,0,EF0
TX,0.5,100.0,2004,0,0,EF0
TN,2.0,50.0,2004,0,0,EF1
IA,0.2,25.0,2004,0,0,EF0
IA,0.2,25.0,2004,0,0,EF0
IA,0.2,25.0,2004,0,0,EF0
IA,1.5,40.0,2004,0,0,EF0
GA,0.5,0.5,2004,0,0,EF0
NC,2.3,300.0,2004,0,0,EF1
IA,0.5,40.0,2004,0,0,EF0
TN,1.0,10.0,2004,0,0,EF1
MD,0.5,50.0,2004,0,0,EF0
TX,1.0,20.0,2004,0,0,EF0
IL,5.0,50.0,2004,0,0,EF1
IL,3.0,50.0,2004,0,0,EF1
MO,12.0,200.0,2004,1,0,EF2
KS,0.1,10.0,2004,0,0,EF0
TX,0.2,50.0,2004,0,0,EF0
IA,0.3,30.0,2004,0,0,EF0
IA,0.5,40.0,2004,0,0,EF0
NE,0.1,10.0,2004,0,0,EF0
IA,17.0,100.0,2004,0,0,EF1
IA,2.0,50.0,2004,0,0,EF0
NE,0.2,20.0,2004,0,0,EF0
IA,0.5,50.0,2004,0,0,EF0
IA,0.2,30.0,2004,0,0,EF0
MS,6.0,100.0,2004,0,0,EF1
